normalized_id,place_id,place_name,place_category,platform,source_record_id,content_text,rating,content_created_at,author_id_or_name,engagement_count,normalized_engagement,language,quality_score,is_useful,sentiment_score,content_latitude,content_longitude,media_latitude,media_longitude,photo_count,video_count,image_count,media_count,service_score,price_score,scenery_score,crowded_score,food_drink_score,cleanliness_score,location_score,risk_flags,risk_flag_count,has_risk_flag,scraped_at,author_key,record_date,scraped_date,place_lat,place_lng,layer1_duplicate_location,layer1_rating_spike,layer1_category_specialist,layer1_media_gps_verified,layer1_community_interaction,layer1_geo_verified,trust_score_layer1,trust_flags_layer1,trust_flag_count_layer1,translation_source_lang,translation_applied,translated_text_vi,translation_model,nlp_text_used,nlp_word_count,nlp_emoji_ratio,nlp_lexical_diversity,nlp_specificity_score,nlp_adjective_density,nlp_adjective_source,nlp_seeding_detected,nlp_repetitive_template,nlp_embedding_similarity,nlp_embedding_source,nlp_sentiment_rating_mismatch,nlp_temporal_mismatch,nlp_temporal_terms,nlp_ai_applied,nlp_ai_sentiment_score,nlp_ai_sentiment_label,nlp_ner_entity_count,trust_score_layer2,trust_flags_layer2,trust_flag_count_layer2,intermediate_trust_score,crosscheck_applied,crosscheck_sentiment_gap,crosscheck_rating_gap,crosscheck_topic_overlap_ratio,crosscheck_platform_gap,crosscheck_engagement_percentile,crosscheck_temporal_spike,trust_score_layer3,trust_flags_layer3,trust_flag_count_layer3,final_trust_score,consistency_score,review_flag,trust_level
e74ce2eee912ef774b90f0db49408d1ee80cee75c65c50d6dbcdffbf9a317544,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,4b59fd43254e394731eec086d800f02b337efe4944d20e529a8f02c17e8cd2a8,,5.0,2026-05-22T11:50:44.946000+00:00,102160304614794348311,0,0.495,,0.3,False,0.6,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,empty_text|rating_without_text,2,True,2026-05-22T22:07:45.182820+00:00,102160304614794348311,2026-05-22 11:50:44.946000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,unknown,False,,,,0,0.0,0.0,0.0,0.0,word_list,False,True,1.0,sentence_transformers,0.4,False,,False,,,0,-0.5,too_short_text|repetitive_template|high_embedding_similarity,3,0.0,True,0.1093,0.515,0.0,False,0.495,False,-0.1,low_topic_overlap,1,0.0,-0.1,normal,low
3b39cf60f6e5ee1de131ac596ad4ac3af7560db17b632ddc22690dd64d9f92cf,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,fd272a88856e2b96e51ba4e5d2e05c5ccb1b242138a2093128d79119b0f623ec,"Một địa chỉ nghỉ ngơi trong lúc chờ di chuyển rời khỏi Đà lạt hoặc vừa mới đến Đà Lạt vì nằm gần Bến xe. Không gian khá rộng và làm theo kiểu công nghiệp với dịch vụ lưu trú, coffee và ăn trưa. Nhân viên ở mức trung bình và đa phần là trẻ nên cũng không thể kỳ vọng họ phục vụ chu đáo.",4.0,2026-05-18T07:30:34.141000+00:00,104119308621719249808,0,0.495,,0.9,True,0.85,0.0,0.0,0.0,0.0,0,0,0,0,0.6667,1.0,0.3333,0.0,0.3333,0.0,1.0,,0,False,2026-05-22T22:07:45.182820+00:00,104119308621719249808,2026-05-18 07:30:34.141000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,vi,False,,,"Một địa chỉ nghỉ ngơi trong lúc chờ di chuyển rời khỏi Đà lạt hoặc vừa mới đến Đà Lạt vì nằm gần Bến xe. Không gian khá rộng và làm theo kiểu công nghiệp với dịch vụ lưu trú, coffee và ăn trưa. Nhân viên ở mức trung bình và đa phần là trẻ nên cũng không thể kỳ vọng họ phục vụ chu đáo.",66,0.0,0.8939,0.75,0.0962,underthesea,False,False,0.5678,sentence_transformers,0.35,False,,False,,,0,0.23,long_text|specific_content|high_lexical_diversity,3,0.73,True,0.3593,0.485,1.0,False,0.495,False,0.13,rating_consistent|topic_consistent,2,0.73,0.13,normal,high
78af038a12d2213c5ab4285693d00af05b72cdb90a202555df1d21f583532cf4,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,91fcc07b630eff4552f8d98c2b44b223f3c92bc1bcb46ed271157b06cc1f86fd,버스터미널에서 내리고 호텔 체크인 시간까지 많이 남았다면 여기서 커피와 멋진 풍경을 즐기면서 쉬다가세요 적극 추천합니다 너무 좋아요,5.0,2026-05-14T08:53:24.540000+00:00,110724717985430903492,0,0.495,,0.9,True,0.6,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,2026-05-22T22:07:45.182820+00:00,110724717985430903492,2026-05-14 08:53:24.540000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,ko,True,"Nếu bạn rời khỏi nhà ga và còn nhiều thời gian để check-in tại khách sạn, hãy nghỉ ngơi và thưởng thức cà phê và khung cảnh tuyệt vời ở đây.",facebook/nllb-200-distilled-600M,"Nếu bạn rời khỏi nhà ga và còn nhiều thời gian để check-in tại khách sạn, hãy nghỉ ngơi và thưởng thức cà phê và khung cảnh tuyệt vời ở đây.",31,0.0,0.9355,0.25,0.08,underthesea,False,False,0.6232,sentence_transformers,0.0072,False,,True,0.9928,POS,0,0.13,long_text|high_lexical_diversity,2,0.63,True,0.1093,0.515,0.0,False,0.495,False,-0.02,sentiment_consistent|low_topic_overlap,2,0.63,-0.02,normal,medium
dd2960630be8867c20fdff966f8518a3db1ce54759c3a98be938f1c7cdc03c36,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,17549124133117d90abb1fef91d137ad489fb9d5760e716eb20878ea29176622,View thoán và rất đẹp,5.0,2026-05-10T04:08:56.056000+00:00,102784250777650507064,0,0.495,,0.73,True,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,,0,False,2026-05-22T22:07:45.182820+00:00,102784250777650507064,2026-05-10 04:08:56.056000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,vi,False,,,View thoán và rất đẹp,5,0.0,1.0,0.0,0.2,underthesea,False,False,0.8673,sentence_transformers,0.0071,False,,True,0.9929,POS,0,-0.05,too_short_text|high_lexical_diversity|sentiment_matches_rating,3,0.45,True,0.5093,0.515,0.3333,False,0.495,False,-0.1,low_topic_overlap,1,0.45,-0.1,normal,medium
73ce476ca151739c021b8d511f017c336d72c5a34bfd71f7ccce7b9ccc09ac7d,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,c822e93490c01faba00d8db4301a2653efe8bbdc766502f95869aadcc572b661,"Quán gần đèo Prenn nên khá dễ đi. Quán khá rộng. Có view đồi thông rất đẹp. Nếu view này nước 60-70k 1 ly cũng được. Có điều quán nên đổi gu nhạc. Nhạc nên du dương , nhẹ nhàng sẽ phù hợp với không gian quán hơn. Nhạc hiện hơi dở và không hợp á",5.0,2026-05-01T09:26:34.225000+00:00,117640978334357551562,0,0.495,,0.9,True,0.6,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.6667,0.0,0.3333,0.0,0.6667,,0,False,2026-05-22T22:07:45.182820+00:00,117640978334357551562,2026-05-01 09:26:34.225000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,vi,False,,,"Quán gần đèo Prenn nên khá dễ đi. Quán khá rộng. Có view đồi thông rất đẹp. Nếu view này nước 60-70k 1 ly cũng được. Có điều quán nên đổi gu nhạc. Nhạc nên du dương , nhẹ nhàng sẽ phù hợp với không gian quán hơn. Nhạc hiện hơi dở và không hợp á",55,0.0,0.7818,0.75,0.125,underthesea,False,False,0.7247,sentence_transformers,0.4,False,,False,,,0,0.23,long_text|specific_content|high_lexical_diversity,3,0.73,True,0.1093,0.515,1.0,False,0.495,False,0.13,sentiment_consistent|topic_consistent,2,0.73,0.13,normal,high
697c37250567d161b13aa534e0af801507ecace4abd5dd0f6cd653c8830ed0f4,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,6ed8a089c1802a2c5496e64f2b8521fbd766ead47ffbf8a52623efe06f09bcda,"Tuần vừa rồi mình có chuyến đi lên đà lạt và lưu trú tại đây, anh chủ và nhân viên thân thiện nhiệt tình và hỗ trợ bọn mình. View quán rất yên tĩnh và đẹp. Nếu có dịp quay lại đà lạt mình sẽ tiếp tục thuê phòng ở đây",5.0,2026-04-30T14:59:09.897000+00:00,112636317353447740789,0,0.495,,0.65,True,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,,0,False,2026-05-22T22:07:45.182820+00:00,112636317353447740789,2026-04-30 14:59:09.897000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,vi,False,,,"Tuần vừa rồi mình có chuyến đi lên đà lạt và lưu trú tại đây, anh chủ và nhân viên thân thiện nhiệt tình và hỗ trợ bọn mình. View quán rất yên tĩnh và đẹp. Nếu có dịp quay lại đà lạt mình sẽ tiếp tục thuê phòng ở đây",51,0.0,0.8235,0.5,0.0465,underthesea,False,False,0.571,sentence_transformers,0.0,False,,False,,,0,0.28,long_text|specific_content|high_lexical_diversity|sentiment_matches_rating,4,0.78,True,0.5093,0.515,0.3333,False,0.495,False,-0.1,low_topic_overlap,1,0.78,-0.1,normal,high
fd5be5cf15b5a0dbff1e2b80ecab9b0e8da2580fbfd80609c99a7e26e49bca1d,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,be54c27373a11b58ff8f7e96d3d59747c81a4bd9f52f277a16af9b8e46a3b813,,5.0,2026-04-28T04:21:23.050000+00:00,116109920567421555674,0,0.495,,0.3,False,0.6,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,empty_text|rating_without_text,2,True,2026-05-22T22:07:45.182820+00:00,116109920567421555674,2026-04-28 04:21:23.050000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,unknown,False,,,,0,0.0,0.0,0.0,0.0,word_list,False,True,1.0,sentence_transformers,0.4,False,,False,,,0,-0.5,too_short_text|repetitive_template|high_embedding_similarity,3,0.0,True,0.1093,0.515,0.0,False,0.495,False,-0.1,low_topic_overlap,1,0.0,-0.1,normal,low
57a29516aa24a40ab5c3ba2aca2cd794260a21cbf22e9384cc636552624f34e0,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,85b3eac9324e26606bd14d51365ab6cec85487ff9b0ecb56667e4359a1a7ea34,"Nước với view đỉnh cao, bãi giữ xe rộng rãi có bãi cho oto có phòng để book ở lại",5.0,2026-04-27T10:18:49.799000+00:00,112250039851019260011,0,0.495,,0.8,True,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3333,0.6667,0.0,0.3333,0.0,0.3333,,0,False,2026-05-22T22:07:45.182820+00:00,112250039851019260011,2026-04-27 10:18:49.799000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,vi,False,,,"Nước với view đỉnh cao, bãi giữ xe rộng rãi có bãi cho oto có phòng để book ở lại",20,0.0,0.9,0.5,0.1053,underthesea,False,False,0.4978,sentence_transformers,0.0,False,,False,,,0,0.2,specific_content|high_lexical_diversity|sentiment_matches_rating,3,0.7,True,0.5093,0.515,1.0,False,0.495,False,0.05,topic_consistent,1,0.7,0.05,normal,high
c2883f673d72e2c87338f7fcefbc901798fe4add0599e93f5ac81e0b0300dc39,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,5edf875984cad525a56d85092f508c6208ddad036d90398c53cf39c59aee0789,,4.0,2026-04-27T04:28:05.525000+00:00,111086997573497604515,0,0.495,,0.3,False,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,empty_text|rating_without_text,2,True,2026-05-22T22:07:45.182820+00:00,111086997573497604515,2026-04-27 04:28:05.525000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,unknown,False,,,,0,0.0,0.0,0.0,0.0,word_list,False,True,1.0,sentence_transformers,0.2,False,,False,,,0,-0.45,too_short_text|repetitive_template|high_embedding_similarity|sentiment_matches_rating,4,0.05,True,0.1907,0.485,0.0,False,0.495,False,-0.1,low_topic_overlap,1,0.05,-0.1,normal,low
ef194888dbabed8cb23bef51785a73f9a828f716e75de2dccfd6a1dcfa1b8aa7,dalat_002,Horizon Coffee Da Lat,Quán cà phê,google_maps,a29adde0710f12064790da3d9c2dc5dbacbcd0e1a2598847f7f3aa12279459be,"Nice view, nice staff, good coffee and food",5.0,2026-04-25T08:03:12.030000+00:00,110383519941963796067,0,0.495,,0.9,True,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,,0,False,2026-05-22T22:07:45.182820+00:00,110383519941963796067,2026-04-25 08:03:12.030000+00:00,2026-05-22 22:07:45.182820+00:00,11.9238342,108.4483607,False,False,False,False,False,False,0.0,,0,en,True,"Nhìn cảnh đẹp, nhân viên tốt, cà phê và thức ăn tốt",facebook/nllb-200-distilled-600M,"Nhìn cảnh đẹp, nhân viên tốt, cà phê và thức ăn tốt",12,0.0,0.9167,0.25,0.2727,underthesea,False,False,0.6519,sentence_transformers,0.0071,False,,True,0.9929,POS,0,0.02,adjective_heavy|high_lexical_diversity|sentiment_matches_rating,3,0.52,True,0.5093,0.515,0.6667,False,0.495,False,0.05,topic_consistent,1,0.52,0.05,normal,medium
