place_id,raw_place_id,cid,title,category,categories,address,city,state,country_code,lat,lng,google_maps_url,website,phone,total_score,reviews_count,images_count,price,temporarily_closed,permanently_closed,search_string,scraped_at,data_score
dalat_001,ChIJG5d8D2wTcTERDzOyPSdLx04,5676588487234695951,Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt,Nhà hàng,Nhà hàng,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.972013,108.4515108,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20g%C3%A0%20T%C3%BAk%20T%C3%BAk%20-%20G%C3%A0%20n%C6%B0%E1%BB%9Bng%20s%E1%BB%91t%20ti%C3%AAu%20xanh%20ch%C3%ADnh%20g%E1%BB%91c%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJG5d8D2wTcTERDzOyPSdLx04,http://1phutdalat.vn/,+84 814 302 507,4.7,8699,6581,100-300 N ₫,False,False,restaurant,2026-05-11T03:51:58.800Z,8.169
dalat_002,ChIJ_3HmQsMTcTERM_WaDP3Z1gU,420763296067155251,Horizon Coffee Da Lat,Quán cà phê,Quán cà phê,"31/6 3/4, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9238342,108.4483607,https://www.google.com/maps/search/?api=1&query=Horizon%20Coffee%20Da%20Lat&query_place_id=ChIJ_3HmQsMTcTERM_WaDP3Z1gU,https://m.facebook.com/horizondalat/,+84 367 255 299,4.2,3425,10335,$$,False,False,quán cafe Đà Lạt,2026-05-16T13:50:32.978Z,7.4617
dalat_003,ChIJw6D__a8TcTERqUhnflvGR7s,13494972904704002217,Quán Của Thời Thanh Xuân,Quán cà phê,Quán cà phê,"9 Đường Triệu Việt Vương, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9308749,108.4283069,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%E1%BB%A7a%20Th%E1%BB%9Di%20Thanh%20Xu%C3%A2n&query_place_id=ChIJw6D__a8TcTERqUhnflvGR7s,http://nhacuathoithanhxuan.com/,+84 914 142 850,4.9,2579,8261,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:15.592Z,7.3808
dalat_004,ChIJO8pnG7ATcTER2zNICgdwTPs,18107971377289507803,Tiệm Cà Phê Trứng Cô Ba - Đà Lạt,Quán cà phê,Quán cà phê,"105 Đường Hai Bà Trưng, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Cam Ly - Đà Lạt, Lâm Đồng",VN,11.945054,108.433109,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20C%C3%A0%20Ph%C3%AA%20Tr%E1%BB%A9ng%20C%C3%B4%20Ba%20-%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJO8pnG7ATcTER2zNICgdwTPs,http://cobacaphedalat.com/,+84 945 209 079,4.8,2808,4656,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:31.670Z,7.363
dalat_005,ChIJr5Lv-NMScTERRTkTT6zWBV8,6847114844036086085,Fujiya Sushi Đà Lạt - Món Nhật,Nhà hàng Nhật Bản,Nhà hàng Nhật Bản,"khu qui hoạch/Lot 34 Nguyễn Công Trứ, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9550494,108.4330664,https://www.google.com/maps/search/?api=1&query=Fujiya%20Sushi%20%C4%90%C3%A0%20L%E1%BA%A1t%20-%20M%C3%B3n%20Nh%E1%BA%ADt&query_place_id=ChIJr5Lv-NMScTERRTkTT6zWBV8,http://www.fujiyasushi.net/,+84 397 798 788,4.8,2459,2264,200-600 N ₫,False,False,restaurant,2026-05-11T03:51:57.536Z,7.1981
dalat_006,ChIJt0EWeAATcTERkSAcfLZoDBs,1949047871720136849,Đà Lạt View,Quán cà phê,Quán cà phê,"49 Khe Sanh, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9333888,108.4581501,https://www.google.com/maps/search/?api=1&query=%C4%90%C3%A0%20L%E1%BA%A1t%20View&query_place_id=ChIJt0EWeAATcTERkSAcfLZoDBs,http://dalatview.com/,+84 888 888 081,4.0,2315,12411,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:30.015Z,7.166
dalat_007,ChIJnW2_RikTcTERnsz5jI3TH_I,17446896086365621406,Pizza Củi,Nhà hàng pizza,Nhà hàng pizza,"27 Đường Võ Trường Toản, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Lâm Viên - Đà Lạt, Lâm Đồng",VN,11.9596116,108.4445246,https://www.google.com/maps/search/?api=1&query=Pizza%20C%E1%BB%A7i&query_place_id=ChIJnW2_RikTcTERnsz5jI3TH_I,https://m.facebook.com/firewoodpizza/,+84 918 196 672,4.6,1908,2246,200-300 N ₫,False,False,restaurant,2026-05-11T03:51:58.801Z,6.9798
dalat_008,ChIJeeXV-TITcTER2ptbrQLwdxg,1763141673427901402,Coffee Em và Trịnh,Quán cà phê,Quán cà phê,"9/1 Hẻm Cầu Đúc, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9374997,108.4484205,https://www.google.com/maps/search/?api=1&query=Coffee%20Em%20v%C3%A0%20Tr%E1%BB%8Bnh&query_place_id=ChIJeeXV-TITcTER2ptbrQLwdxg,https://www.facebook.com/profile.php?id=100088800944493&mibextid=ZbWKwL,+84 785 762 738,4.9,1543,2724,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:13.211Z,6.9105
dalat_009,ChIJAasYgEATcTERB7rxd1bvPDc,3980319325347232263,Nhà Lồng Coffee,Quán cà phê,Quán cà phê,"6A Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9361248,108.4442214,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20L%E1%BB%93ng%20Coffee&query_place_id=ChIJAasYgEATcTERB7rxd1bvPDc,,+84 974 324 243,4.7,1574,2096,1-100.000 ₫,False,False,quán cafe Đà Lạt,2026-05-16T13:50:31.858Z,6.8582
dalat_010,ChIJ5aTO4wITcTER2e8QW8IBp6k,12224741647783620569,Quán cafe nhạc Trịnh Acoustic Memory Đà Lạt - Memory acoustic Dalat coffee,Nhà hàng,Nhà hàng,"24 Hùng Vương, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9451751,108.4641901,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20cafe%20nh%E1%BA%A1c%20Tr%E1%BB%8Bnh%20Acoustic%20Memory%20%C4%90%C3%A0%20L%E1%BA%A1t%20-%20Memory%20acoustic%20Dalat%20coffee&query_place_id=ChIJ5aTO4wITcTER2e8QW8IBp6k,https://nhahangdalat.info/,+84 916 871 306,4.6,1559,2354,$$,False,False,quán cafe Đà Lạt,2026-05-16T13:50:14.049Z,6.8431
dalat_011,ChIJMzXtGY4TcTERzanixs08VxE,1249534276121307597,Tiệm ăn Đà Lạt Phố - Restaurant,Nhà hàng,Nhà hàng,"38 Đường Tăng Bạt Hổ, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",Lâm Đồng,"Xuân Hương - Đà Lạt, Lâm Đồng",VN,11.9442842,108.4348971,https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20%C4%83n%20%C4%90%C3%A0%20L%E1%BA%A1t%20Ph%E1%BB%91%20-%20Restaurant&query_place_id=ChIJMzXtGY4TcTERzanixs08VxE,https://vietchallenge.com/restaurant,+84 327 606 839,4.7,1470,1719,100-200 N ₫,False,False,restaurant,2026-05-11T03:51:57.537Z,6.7906
